Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",7617911,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",6416764,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"Heat Waves","Glass Animals",4685326,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"Bad Habits","Ed Sheeran",4253653,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,Pepas,Farruko,4234019,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
6,Shivers,"Ed Sheeran",3895504,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
7,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,3833415,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
8,Woman,"Doja Cat",3821961,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
9,"My Universe",Coldplay,3745651,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
10,"Cold Heart - PNAU Remix","Elton John",3565656,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
11,"love nwantiti (ah ah ah)",CKay,3529602,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
12,MONEY,LISA,3485369,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
13,Beggin',Måneskin,3431970,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
14,"good 4 u","Olivia Rodrigo",3365729,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
15,"THATS WHAT I WANT","Lil Nas X",3347104,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
16,"MONTERO (Call Me By Your Name)","Lil Nas X",3093982,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
17,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,3064200,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
18,"Need To Know","Doja Cat",3031176,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
19,"Life Goes On","Oliver Tree",3014523,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
20,"Happier Than Ever","Billie Eilish",2769199,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
21,"Kiss Me More (feat. SZA)","Doja Cat",2701963,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
22,"Way 2 Sexy (with Future & Young Thug)",Drake,2526836,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
23,Yonaguni,"Bad Bunny",2351962,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
24,MAMMAMIA,Måneskin,2223850,https://open.spotify.com/track/78SCmQ8A7KQSMdkem2SwBP
25,"Levitating (feat. DaBaby)","Dua Lipa",2178780,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
26,"Todo De Ti","Rauw Alejandro",2173907,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
27,Volví,Aventura,2164751,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
28,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,2132807,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
29,traitor,"Olivia Rodrigo",2129712,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
30,"Fair Trade (with Travis Scott)",Drake,2084328,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
31,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2083695,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
32,"Meet Me At Our Spot","THE ANXIETY",2001447,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
33,"Blinding Lights","The Weeknd",1990656,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
34,"Where Are You Now","Lost Frequencies",1886747,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
35,"Take My Breath","The Weeknd",1881239,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
36,"In Da Getto","J Balvin",1878472,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
37,"I WANNA BE YOUR SLAVE",Måneskin,1863010,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
38,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1778630,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
39,"Qué Más Pues?","J Balvin",1774539,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
40,"Don't Be Shy",Tiësto,1753937,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
41,"Flocky Flocky (feat. Travis Scott)","Don Toliver",1748206,https://open.spotify.com/track/25r6MZ4Gtd76l43qnZI1DG
42,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",1703916,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
43,"drivers license","Olivia Rodrigo",1683184,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
44,2055,"Sleepy Hallow",1665033,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
45,Cúrame,"Rauw Alejandro",1649186,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
46,LALISA,LISA,1633981,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
47,"Get Into It (Yuh)","Doja Cat",1632403,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
48,"Girls Want Girls (with Lil Baby)",Drake,1561634,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
49,"Ley Seca","Jhay Cortez",1541749,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
50,Butter,BTS,1537128,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
51,Sobrio,Maluma,1510252,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
52,Nostálgico,Rvssian,1497462,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
53,"Sweater Weather","The Neighbourhood",1484137,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
54,"AM Remix","Nio Garcia",1483999,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
55,"Volando - Remix",Mora,1478670,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
56,"Watermelon Sugar","Harry Styles",1471007,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
57,Bored,"Billie Eilish",1457256,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
58,Hurricane,"Kanye West",1454934,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
59,"Don't Go Yet","Camila Cabello",1450757,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
60,"Red Eye (feat. TroyBoi)","Justin Bieber",1410214,https://open.spotify.com/track/24OeEKPQ8qqNZnPevRHxUT
61,"deja vu","Olivia Rodrigo",1404232,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
62,"The Feels",TWICE,1380153,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY
63,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1373311,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
64,DÁKITI,"Bad Bunny",1365910,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
65,"Leave The Door Open","Bruno Mars",1324526,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
66,París,Ingratax,1317035,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
67,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey",1316075,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
68,"family ties (with Kendrick Lamar)","Baby Keem",1315617,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
69,"Love Tonight - Edit",Shouse,1308401,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
70,"Mood (feat. iann dior)",24kGoldn,1279319,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
71,Ateo,"C. Tangana",1262179,https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11
72,"Don't Start Now","Dua Lipa",1254375,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
73,"Someone You Loved","Lewis Capaldi",1218651,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
74,"edamame (feat. Rich Brian)",bbno$,1215455,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
75,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1213999,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
76,happier,"Olivia Rodrigo",1213711,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
77,"Dark Red","Steve Lacy",1209909,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
78,Dynamite,BTS,1206720,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
79,"Permission to Dance",BTS,1202047,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
